Student ID,Age,Gender,Class,Math Score,English Score,Computer Score,Sport Score,Attendance Score,Art Score,Total Score,Average Score,Grade
StudentA001,18,Male,A,98,95,99,91,94.89,90,,,
StudentA002,14,Female,D,48,73,86,21,82.32,36,,,
StudentA003,14,Female,B,86,,56,6,96.82,4,,,
StudentA004,14,Male,A,80,65,95,87,94.84,65,,,
StudentA005,15,,A,,46,13,10,57.31,99,,,
StudentA006,18,Male,B,80,65,95,87,94.84,65,,,
StudentA007,18,,D,29,14,94,20,58.49,22,,,
StudentA008,14,,D,,98,94,56,53.92,10,,,
StudentA009,15,Female,C,71,18,56,86,87.54,,,,
StudentA010,16,Male,A,80,65,95,87,94.84,65,,,
StudentA011,14,Female,B,30,6,87,90,56.59,53,,,
StudentA012,17,Female,A,47,85,23,49,75.24,82,,,
StudentA013,17,,,79,76,67,25,99.93,35,,,
StudentA014,15,Female,B,96,97,98,93,94.89,69,,,
StudentA015,18,Male,B,45,31,87,0,73.99,17,,,
StudentA016,18,Male,D,93,65,79,,88.71,87,,,
StudentA017,NaN,,C,69,5,0,90,58.9,24,,,
StudentA018,15,Male,C,80,65,95,87,94.84,65,,,
StudentA019,17,Female,C,21,,65,43,89.98,59,,,
StudentA020,17,Female,B,49,52,82,78,82.74,23,,,
StudentA021,16,,C,28,14,,98,82.36,70,,,
StudentA022,17,Male,C,80,65,95,87,94.84,65,,,
StudentA023,18,Male,B,17,18,3,76,94.4,83,,,
StudentA024,15,Male,A,70,1,0,,66.38,56,,,
StudentA025,14,Male,B,80,65,95,87,94.84,65,,,
StudentA026,16,Female,C,98,89,94,91,96.23,97,,,
StudentA027,18,Female,A,7,56,11,47,96.65,17,,,
StudentA028,NaN,Male,B,80,65,95,87,94.84,65,,,
StudentA029,18,Female,C,68,33,15,15,59.39,82,,,
StudentA030,14,Female,B,,69,97,8,82.44,76,,,
StudentA031,,Female,B,76,53,87,86,80.85,,,,
StudentA032,15,Male,C,10,42,81,8,78.51,21,,,
StudentA033,14,Male,A,80,65,95,87,94.84,65,,,
StudentA034,14,Male,B,43,77,29,49,95.16,43,,,
StudentA035,18,Female,A,76,53,87,86,80.85,,,,
StudentA036,18,Male,A,36,56,21,70,80.68,57,,,
StudentA037,17,Female,,40,98,92,15,83.12,56,,,
StudentA038,15,Male,D,95,49,75,17,96.29,68,,,
StudentA039,14,Female,D,14,0,96,44,82.81,52,,,
StudentA040,16,Male,D,80,65,95,87,94.84,65,,,
StudentA041,16,Female,,98,73,8,87,66.71,95,,,
StudentA042,17,Male,B,76,53,87,86,80.85,,,,
StudentA043,sixteen,,D,17,71,38,6,65.57,,,,
StudentA098,14,Female,B,76,53,87,86,80.85,,,,
StudentA045,17,Female,B,,2,73,90,68.61,3,,,
StudentA046,16,Female,B,80,65,95,87,94.84,65,,,
StudentA047,16,Male,D,100,99,100,99,95.9,99,,,
StudentA048,17,Female,B,56,1,87,43,97.52,19,,,
StudentA049,15,Male,C,99,95,100,99,95.9,97,,,
StudentA050,16,Male,B,76,53,87,86,80.85,,,,
StudentA051,15,Female,D,52,,40,19,96.46,72,,,
StudentA052,14,Female,B,80,65,95,87,94.84,65,,,
StudentA098,14,Female,,87,16,32,68,74,21,,,
StudentA054,15,Female,C,36,75,22,32,66.89,89,,,
StudentA055,NaN,Male,B,47,42,47,72,91.02,26,,,
StudentA056,18,Female,D,36,63,47,29,97.77,91,,,
StudentA057,15,Female,D,44,98,92,10,92.16,13,,,
StudentA058,18,Male,C,,92,45,58,89.26,94,,,
StudentA059,18,Male,D,47,31,94,31,57.28,35,,,
StudentA060,14,Male,,70,9,32,17,91.44,,,,
StudentA061,17,Female,A,69,91,,66,97.29,15,,,
StudentA062,16,Male,,3,,44,48,71.11,33,,,
StudentA063,17,,D,68,72,,78,74.86,88,,,
StudentA064,sixteen,Male,B,1,80,94,78,89.71,0,,,
StudentA065,15,,A,81,15,,19,,29,,,
StudentA066,18,Male,A,42,17,32,79,,,,,
StudentA067,17,,D,18,98,,41,86.44,36,,,
StudentA068,15,Female,C,30,,85,33,,11,,,
StudentA055,NaN,Male,B,47,42,47,72,91.02,26,,,
StudentA070,17,Female,C,80,65,95,87,94.84,65,,,
StudentA071,NaN,,B,68,15,96,73,56.66,23,,,
StudentA072,17,,,21,100,84,54,80.15,51,,,
StudentA055,NaN,Male,B,47,42,47,72,91.02,26,,,
StudentA074,17,Female,A,15,81,62,1,95.93,14,,,
StudentA075,14,Male,C,62,87,79,,92.53,10,,,
StudentA076,17,Male,C,0,,21,39,94.06,3,,,
StudentA077,,Female,D,88,93,64,80,76.93,63,,,
StudentA078,,,B,0,41,2,99,97.17,13,,,
StudentA079,sixteen,Male,B,71,100,93,41,69.05,5,,,
StudentA080,NaN,Male,A,9,47,,96,50.75,99,,,
StudentA081,15,Male,,72,80,6,44,79.96,12,,,
StudentA082,NaN,Male,,61,53,92,54,58.3,27,,,
StudentA083,18,Female,A,,71,60,22,82.35,3,,,
StudentA084,18,Male,C,95,13,38,9,85.24,17,,,
StudentA085,sixteen,Female,B,52,73,29,29,87.82,16,,,
StudentA086,18,Female,C,2,48,97,79,69.49,94,,,
StudentA087,15,Male,D,80,65,95,87,94.84,65,,,
StudentA088,18,Female,D,15,15,1,77,,28,,,
StudentA055,NaN,Male,B,47,42,47,72,91.02,26,,,
StudentA090,15,Male,,99,79,76,62,88.58,49,,,
StudentA091,,Female,A,80,65,95,87,94.84,65,,,
StudentA092,16,Male,C,67,34,84,2,75.51,35,,,
StudentA093,NaN,Male,,26,69,39,65,83.79,60,,,
StudentA094,,Male,D,34,98,73,10,60.09,28,,,
StudentA095,sixteen,Male,D,96,30,23,26,71.03,73,,,
StudentA096,16,Female,A,97,,80,37,69.72,22,,,
StudentA097,15,Male,A,71,75,74,78,79.5,75,,,
StudentA098,14,Female,A,80,65,95,87,94.84,65,,,
StudentA099,14,Female,,75,78,100,78,59.83,52,,,
StudentA090,15,Male,B,65,50,60,65,60.67,65,,,
